Tc	100 bar	250	500	1000	#750	
7	0.35021	0.18712	0.14660	0.16897	       
17	0.41858	0.22453	0.17560	0.20013	        
27	0.48932	0.26434	0.20665	0.23322	# 0.20891	
37	0.55920	0.30592	0.23940	0.26792	# 0.24120	
47	0.62058	0.34858	0.27348	0.30388	# 0.27480	
57	0.66502	0.39163	0.30853	0.34080	# 0.30941	
67	0.69998	0.43435	0.34420	0.37837	# 0.34470	
77	0.72952	0.47607	0.38014	0.41630	# 0.38041	
87	0.75521	0.51623	0.41604	0.45434	# 0.41625	
97	0.77790	0.55439	0.45161	0.49224	# 0.45198	
107	0.79812	0.59027	0.48662	0.52980	# 0.48739	
117	0.81626	0.62375	0.52086	0.56682	# 0.52228	
127	0.83262	0.65483	0.55414	0.60316	# 0.55650	
137	0.84742	0.68361	0.58634	0.63866	# 0.58989	
147	0.86085	0.71022	0.61734	0.67322	# 0.62236	
157	0.87307	0.73481	0.64709	0.70675	# 0.65381	
167	0.88421	0.75753	0.67552	0.73917	# 0.68418	
177	0.89439	0.77852	0.70262	0.77045	# 0.71342	
187	0.90372	0.79794	0.72837	0.80054	# 0.74149	
197	0.91226	0.81590	0.75280	0.82942	# 0.76838	
207	0.92011	0.83253	0.77591	0.85708	# 0.79407	
217	0.92732	0.84793	0.79775	0.88353	# 0.81858	
227	0.93397	0.86221	0.81836	0.90876	# 0.84192	
237	0.94009	0.87544	0.83778	0.93280	# 0.86410	
247	0.94574	0.88773	0.85606	0.95567	# 0.88515	
257	0.95097	0.89913	0.87325	0.97740	# 0.90510	
267	0.95580	0.90973	0.88941	0.99801	# 0.92399	
277	0.96027		0.90459	1.0175	
287	0.96442		0.91885	1.0360	
297			0.93223	1.0535	
307			0.94479	1.0700	
317			0.95657	1.0856	
327			0.96763	1.1002	
337			0.97799	1.1141	
347			0.98771	1.1271	
357			0.99683	1.1393	
367			1.0054	1.1508	
       
# 200 bar
# 0.05847
# 0.08053
# 0.10716
# 0.13830
# 0.17368
# 0.21288
# 0.25531
# 0.30026
# 0.34690
# 0.39428
# 0.44141
# 0.48725
# 0.53084
# 0.57148
# 0.60883
# 0.64288
# 0.67387
# 0.70208
# 0.72781
# 0.75131
# 0.77284
# 0.79258
# 0.81072
# 0.82740
# 0.84277
# 0.85693
# 0.87001
# 0.88210
# 0.89328
# 0.90363
# 0.91322
# 0.92211
# 0.93037
# 0.93804
# 






































